RowNum,Transect_id,year,Total_cm,Code,Full_name,Origin,code_new,fullname_new,Origin_new
460,1mas1,1997,138,casp,Carex spp.,native,care,Carex sp.,
462,1mas1,1997,362,gras2,Unidentified grass,NA,gras,unchanged,
475,1mas1,1997,5,forb,Unidentified forb,NA,unchanged,unchanged,
483,1mas1,1998,211,casp,Carex spp.,native,care,Carex sp.,
492,1mas1,1998,8,forb,Unidentified forb,NA,unchanged,unchanged,
493,1mas1,1998,4,gras2,Unidentified grass,NA,gras,unchanged,
503,1mas1,2008,890,caxx,Carex spp.,native,care,Carex sp.,
514,1mas1,2008,4,sexx,Senecio sp.,NA,unchanged,unchanged,
515,1mas1,2008,72,soxx,Solidago spp.,NA,unchanged,Solidago sp.,native
516,1mas1,2008,36,arxx,Aristida spp.,NA,unchanged,Aristida sp.,native
517,1mas1,2008,20,gras,Unidentified grass,NA,gras,unchanged,
528,1mas1,2013,16,oexx,Oenothera sp.,NA,unchanged,unchanged,native
530,1mas1,2013,92,caxx,Carex spp.,native,care,Carex sp.,
534,1mas1,2013,22,cixx,Cirsium sp.,NA,unchanged,unchanged,
536,1mas1,2013,3,gras,Unidentified grass,NA,gras,unchanged,
542,1mas1,2016,394,forb,Unidentified forb,NA,unchanged,unchanged,
547,1mas1,2016,10,gras,Unidentified grass,NA,gras,unchanged,
548,1mas1,2016,68,gras,Unidentified grass,NA,gras,unchanged,
549,1mas1,2016,23,forb,Unidentified forb,NA,unchanged,unchanged,
559,1mas1,2019,107,hevi,Heterotheca villosa,native,unchanged,unchanged,
562,1mas1,2019,28,care,Carex spp.,native,care,Carex sp.,
563,1mas1,2019,4,cryp,Cryptogam,NA,unchanged,unchanged,
565,1mas1,2019,2,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
566,1mas1,2019,28,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
576,1mas2,1997,102,casp,Carex spp.,native,care,Carex sp.,
582,1mas2,1997,51,gras2,Unidentified grass,NA,gras,unchanged,
585,1mas2,1997,327,forb,Unidentified forb,NA,unchanged,unchanged,
607,1mas2,1998,495,frov,Frovaria sp.,NA,frve,Fragaria vesca,native
613,1mas2,1998,170,casp,Carex spp.,native,care,Carex sp.,
620,1mas2,1998,44,forb,Unidentified forb,NA,unchanged,unchanged,
629,1mas2,1998,2,gras2,Unidentified grass,NA,gras,unchanged,
637,1mas2,1998,1,agsp,Agropyron species,NA,agxx2,Agropyron sp.,
645,1mas2,2008,64,anxx,Antennaria spp.,native,anpa,Antennaria parvifolia,
652,1mas2,2008,68,caxx,Carex spp.,native,care,Carex sp.,
653,1mas2,2008,5,gras,Unidentified grass,NA,gras,unchanged,
659,1mas2,2008,1,sexx,Senecio sp.,native,pafe,Packera fendleri,
679,1mas2,2013,3,forb,Unidentified forb,NA,unchanged,unchanged,
680,1mas2,2013,1,gras,Unidentified grass,NA,gras,unchanged,
687,1mas2,2016,649,gras,Unidentified grass,NA,gras,unchanged,
690,1mas2,2016,1221,forb,Unidentified forb,NA,unchanged,unchanged,
695,1mas2,2016,5,gras,Unidentified grass,NA,gras,unchanged,
696,1mas2,2016,21,forb,Unidentified forb,NA,unchanged,unchanged,
706,1mas2,2019,103,pamu,Packera multilobata,native,unchanged,unchanged,
718,1mas2,2019,12,forb,Unidentified forb,NA,unchanged,unchanged,
719,1mas2,2019,21,oexx,Oenothera sp.,native,oeho,Oenothera hookeri,
720,1mas2,2019,13,memu,Mentzelia multiflora,native,unchanged,unchanged,
722,1mas2,2019,31,care,Carex spp.,native,care,Carex sp.,
731,1mbs1,1997,307,casp,Carex spp.,native,care,Carex sp.,
740,1mbs1,1997,15,cisp,Cirsium spp.,NA,unchanged,Cirsium sp.,
751,1mbs1,1998,457,casp,Carex spp.,native,care,Carex sp.,
758,1mbs1,1998,11,cisp,Cirsium spp.,NA,unchanged,Cirsium sp.,
767,1mbs1,1998,1,frov,Frovaria sp.,NA,frve,Fragaria vesca,native
776,1mbs1,2008,1366,caxx,Carex spp.,native,care,Carex sp.,
777,1mbs1,2008,152,sexx,Senecio sp.,NA,unchanged,unchanged,
780,1mbs1,2008,277,elxx,Elymus sp.,native,elel,Elymus elymoides,
784,1mbs1,2008,61,cixx,Cirsium sp.,NA,unchanged,unchanged,
788,1mbs1,2008,66,soxx,Solidago spp.,native,sowr,Solidago wrightii,
789,1mbs1,2008,9,forb,Unidentified forb,NA,unchanged,unchanged,
800,1mbs1,2008,29,soxx,Solidago spp.,native,sowr,Solidago wrightii,
815,1mbs1,2013,86,caxx,Carex spp.,native,care,Carex sp.,
817,1mbs1,2013,13,gras,Unidentified grass,NA,gras,unchanged,
824,1mbs1,2013,8,laxx,Lappula sp.,NA,unchanged,unchanged,
825,1mbs1,2013,3,gras,Unidentified grass,NA,gras,unchanged,
826,1mbs1,2013,93,cixx,Cirsium sp.,NA,unchanged,unchanged,
827,1mbs1,2013,42,phhe2,Phacelia heterophylla,NA,unchanged,unchanged,native
835,1mbs1,2013,10,cixx,Cirsium sp.,NA,unchanged,unchanged,
839,1mbs1,2016,2230,gras,Unidentified grass,NA,gras,unchanged,
841,1mbs1,2016,2174,forb,Unidentified forb,NA,unchanged,unchanged,
842,1mbs1,2016,68,gras,Unidentified grass,NA,gras,unchanged,
845,1mbs1,2016,2,cryp,Cryptogam,NA,unchanged,unchanged,
846,1mbs1,2016,12,forb,Unidentified forb,NA,unchanged,unchanged,
863,1mbs1,2019,48,gras,Unidentified grass,NA,gras,unchanged,
867,1mbs1,2019,47,chxx,Chenopodium sp.,native,chfr,Chenopodium fremontii,
870,1mbs1,2019,26,agxx2,Agropyron sp.,NA,unchanged,unchanged,
871,1mbs1,2019,57,oexx,Oenothera sp.,NA,unchanged,unchanged,native
874,1mbs1,2019,13,memu,Mentzelia multiflora,native,unchanged,unchanged,
875,1mbs1,2019,26,erxx,Erigeron spp.,native,erfl,Erigeron flagellaris,
878,1mbs1,2019,1,forb,Unidentified forb,NA,unchanged,unchanged,
879,1mbs1,2019,7,spla,Sphaeralcea laxa,native,unchanged,unchanged,
881,1mbs1,2019,11,comp,unknown Composite,NA,unchanged,unchanged,
882,1mbs1,2019,21,care,Carex spp.,native,care,Carex sp.,
899,1mbs2,1997,221,gras2,Unidentified grass,NA,gras,unchanged,
900,1mbs2,1997,115,casp,Carex spp.,native,care,Carex sp.,
909,1mbs2,1997,39,gras,Unidentified grass,NA,gras,unchanged,
910,1mbs2,1997,12,forb,Unidentified forb,NA,unchanged,unchanged,
918,1mbs2,1998,450,casp,Carex spp.,native,care,Carex sp.,
923,1mbs2,1998,14,forb,Unidentified forb,NA,unchanged,unchanged,
933,1mbs2,1998,1,casp,Carex spp.,native,care,Carex sp.,
936,1mbs2,1998,3,gras2,Unidentified grass,NA,gras,unchanged,
938,1mbs2,1998,7,agsp,Agropyron species,NA,agxx2,Agropyron sp.,
951,1mbs2,2008,495,caxx,Carex spp.,native,care,Carex sp.,
956,1mbs2,2008,2,hier,Hieracium spp.,NA,hife,Hieracium fendleri,native
962,1mbs2,2008,19,gras,Unidentified grass,NA,gras,unchanged,
963,1mbs2,2008,118,soxx,Solidago spp.,NA,unchanged,Solidago sp.,native
973,1mbs2,2013,118,soxx,Solidago spp.,NA,unchanged,Solidago sp.,native
974,1mbs2,2013,36,oexx,Oenothera sp.,NA,unchanged,unchanged,native
976,1mbs2,2013,73,caxx,Carex spp.,native,care,Carex sp.,
987,1mbs2,2016,981,gras,Unidentified grass,NA,gras,unchanged,
