"","awc","site","depth"
"1",38.6861323879434,"1HAS1",115.129737854004
"2",35.42517394784,"1HAS2",148.124526977539
"3",32.778653769471,"1HBS1",123.756072998047
"4",38.896295256028,"1HBS2",145.329238891602
"5",42.3563812638514,"1MAS1",127.344787597656
"6",31.9676953789596,"1MAS2",116.175811767578
"7",38.7161071054918,"1MBS1",129.548461914062
"8",44.2627247684321,"1MBS2",147.957763671875
"9",28.9778574336949,"1U1",114.733085632324
"10",36.4966422755619,"1U2",125.704299926758
"11",42.1550204988743,"2HAS1",123.792930603027
"12",37.4790632367096,"2HAS2",112.247421264648
"13",45.7814644629572,"2HAU1",127.697540283203
"14",41.7835967360852,"2HAU2",117.860015869141
"15",35.5606292077153,"2HBS1",120.620742797852
"16",32.1536840707525,"2HBS2",120.497131347656
"17",26.9791240326135,"2HBU1",110.416793823242
"18",33.2306269736827,"2HBU2",109.411506652832
"19",36.1460150668167,"2MAS1",115.297103881836
"20",44.28912169987,"2MAS2",128.709426879883
"21",42.7688124542289,"2MAU1",124.229553222656
"22",42.7688124542289,"2MAU2",124.229553222656
"23",33.6148538834656,"2MBS1",121.712409973145
"24",38.8546721693206,"2MBS2",120.372779846191
"25",36.3583144754401,"2MBS3",113.345031738281
"26",37.5249799922579,"2MBU1",111.844604492188
"27",39.7079414503452,"2MBU2",115.754165649414
"28",30.3192088875693,"2U1",114.260597229004
"29",32.5347126627593,"2U2",117.493225097656
"30",45.8547034935286,"3HAS1",134.9091796875
"31",24.8251349459156,"3HAS2",96.1313247680664
"32",38.2138834475059,"3HBS1",127.821990966797
"33",23.9250180893979,"3HBS2",123.39697265625
"34",37.3126650563789,"3MAS1",118.8671875
"35",37.2306006518521,"3MAS2",111.841758728027
"36",36.46252358545,"3MBS1",115.832481384277
"37",24.8159757103402,"3MBS2",113.303237915039
"38",39.7641481993864,"3MBS3",129.798217773438
"39",23.4435175925692,"3U2",115.00244140625
"40",28.9000221887608,"3HBU1",121.684562683105
"41",28.5818930389941,"3HAU1",108.856651306152
"42",31.9852116238719,"3MAU1",110.513999938965
"43",40.2599496611665,"3LAU1",124.646141052246
"44",27.5671306986902,"3MAU2",119.893692016602
"45",30.7890006186621,"3MBU2",137.794677734375
"46",21.6878347196028,"3MBU1",111.997817993164
"47",24.9762438041441,"3HAU2",111.685958862305
"48",25.0070666869076,"3HBU2",121.846115112305
"49",28.0493934345519,"3U1",120.240028381348
