"","plot","year","month","spei"
"148","1HAS1","1981","04",0.444609908431041
"149","1HAS2","1981","04",0.583609625775322
"150","1HBS1","1981","04",0.583609625775322
"151","1HBS2","1981","04",0.444609908431041
"152","1MAS1","1981","04",0.583609625775322
"153","1MAS2","1981","04",0.444609908431041
"154","1MBS1","1981","04",0.583609625775322
"155","1MBS2","1981","04",0.583609625775322
"156","1U1","1981","04",0.583609625775322
"157","1U2","1981","04",0.583609625775322
"158","2HAS1","1981","04",0.341949498673917
"159","2HAS2","1981","04",0.341949498673917
"160","2HAU1","1981","04",0.341949498673917
"161","2HAU2","1981","04",0.341949498673917
"162","2HBS1","1981","04",0.343866561266601
"163","2HBS2","1981","04",0.341949498673917
"164","2HBU1","1981","04",0.444609908431041
"165","2HBU2","1981","04",0.341949498673917
"166","2MAS1","1981","04",0.343866561266601
"167","2MAS2","1981","04",0.341949498673917
"168","2MAU1","1981","04",0.341949498673917
"169","2MAU2","1981","04",0.341949498673917
"170","2MBS1","1981","04",0.343866561266601
"171","2MBS2","1981","04",0.341949498673917
"172","2MBS3","1981","04",0.341949498673917
"173","2MBU1","1981","04",0.341949498673917
"174","2MBU2","1981","04",0.341949498673917
"175","2U1","1981","04",0.343866561266601
"176","2U2","1981","04",0.343866561266601
"177","3HAS1","1981","04",0.343866561266601
"178","3HAS2","1981","04",0.341949498673917
"179","3HBS1","1981","04",0.343866561266601
"180","3HBS2","1981","04",0.343866561266601
"181","3MAS1","1981","04",0.343866561266601
"182","3MAS2","1981","04",0.343866561266601
"183","3MBS1","1981","04",0.343866561266601
"184","3MBS2","1981","04",0.343866561266601
"185","3MBS3","1981","04",0.343866561266601
"186","3U2","1981","04",0.341949498673917
"187","3HBU1","1981","04",0.444609908431041
"188","3HAU1","1981","04",0.444609908431041
"189","3MAU1","1981","04",0.379110584737668
"190","3LAU1","1981","04",0.379110584737668
"191","3MAU2","1981","04",0.379110584737668
"192","3MBU2","1981","04",0.294056809526616
"193","3MBU1","1981","04",0.294056809526616
"194","3HAU2","1981","04",0.294056809526616
"195","3HBU2","1981","04",0.294056809526616
"196","3U1","1981","04",0.294056809526616
"197","1HAS1","1981","05",1.20003862233577
"198","1HAS2","1981","05",1.32438097771588
"199","1HBS1","1981","05",1.32438097771588
"200","1HBS2","1981","05",1.20003862233577
"201","1MAS1","1981","05",1.32438097771588
"202","1MAS2","1981","05",1.20003862233577
"203","1MBS1","1981","05",1.32438097771588
"204","1MBS2","1981","05",1.32438097771588
"205","1U1","1981","05",1.32438097771588
"206","1U2","1981","05",1.32438097771588
"207","2HAS1","1981","05",1.21089652434173
"208","2HAS2","1981","05",1.21089652434173
"209","2HAU1","1981","05",1.21089652434173
"210","2HAU2","1981","05",1.21089652434173
"211","2HBS1","1981","05",1.22973512802755
"212","2HBS2","1981","05",1.21089652434173
"213","2HBU1","1981","05",1.20003862233577
"214","2HBU2","1981","05",1.21089652434173
"215","2MAS1","1981","05",1.22973512802755
"216","2MAS2","1981","05",1.21089652434173
"217","2MAU1","1981","05",1.21089652434173
"218","2MAU2","1981","05",1.21089652434173
"219","2MBS1","1981","05",1.22973512802755
"220","2MBS2","1981","05",1.21089652434173
"221","2MBS3","1981","05",1.21089652434173
"222","2MBU1","1981","05",1.21089652434173
"223","2MBU2","1981","05",1.21089652434173
"224","2U1","1981","05",1.22973512802755
"225","2U2","1981","05",1.22973512802755
"226","3HAS1","1981","05",1.22973512802755
"227","3HAS2","1981","05",1.21089652434173
"228","3HBS1","1981","05",1.22973512802755
"229","3HBS2","1981","05",1.22973512802755
"230","3MAS1","1981","05",1.22973512802755
